input 输出的最大值是：33.441078186035156, 最小值是：-247.1393585205078
第1层输出的最大值是：26.63178825378418, 最小值是：-23.895505905151367
第2层输出的最大值是：24.211679458618164, 最小值是：-25.697063446044922
第3层输出的最大值是：22.20258903503418, 最小值是：-19.084203720092773
第4层输出的最大值是：26.0982666015625, 最小值是：-30.452848434448242
第5层输出的最大值是：16.8232479095459, 最小值是：-19.84615707397461
第6层输出的最大值是：20.820409774780273, 最小值是：-21.439767837524414
第7层输出的最大值是：15.339319229125977, 最小值是：-17.150657653808594
第8层输出的最大值是：10.79384708404541, 最小值是：-19.123762130737305
第9层输出的最大值是：8.904762268066406, 最小值是：-6.287160396575928
第10层输出的最大值是：2.035076141357422, 最小值是：0
第11层输出的最大值是：6.777656555175781, 最小值是：-5.677497863769531
