input 输出的最大值是：37.30632400512695, 最小值是：-247.1393585205078
第1层输出的最大值是：42.78532791137695, 最小值是：-45.30263137817383
第2层输出的最大值是：53.8238639831543, 最小值是：-49.41117477416992
第3层输出的最大值是：43.368228912353516, 最小值是：-37.6749382019043
第4层输出的最大值是：40.064125061035156, 最小值是：-35.62433624267578
第5层输出的最大值是：29.242372512817383, 最小值是：-33.40985107421875
第6层输出的最大值是：29.809207916259766, 最小值是：-24.298433303833008
第7层输出的最大值是：16.72896957397461, 最小值是：-16.69254493713379
第8层输出的最大值是：11.984048843383789, 最小值是：-11.002626419067383
第9层输出的最大值是：11.100301742553711, 最小值是：-5.6346435546875
第10层输出的最大值是：3.513875961303711, 最小值是：0
第11层输出的最大值是：17.792312622070312, 最小值是：-38.779212951660156
