input 输出的最大值是：37.30632400512695, 最小值是：-247.1393585205078
第1层输出的最大值是：27.322677612304688, 最小值是：-31.7054443359375
第2层输出的最大值是：33.90830993652344, 最小值是：-30.06087303161621
第3层输出的最大值是：26.92699432373047, 最小值是：-31.15171241760254
第4层输出的最大值是：28.34758186340332, 最小值是：-36.23823928833008
第5层输出的最大值是：20.370929718017578, 最小值是：-23.597000122070312
第6层输出的最大值是：22.055038452148438, 最小值是：-23.930686950683594
第7层输出的最大值是：14.228374481201172, 最小值是：-19.85110855102539
第8层输出的最大值是：17.40142250061035, 最小值是：-19.81928253173828
第9层输出的最大值是：15.302631378173828, 最小值是：-7.99769401550293
第10层输出的最大值是：2.5469722747802734, 最小值是：0
第11层输出的最大值是：20.057510375976562, 最小值是：-39.029884338378906
